id,title,artist,genre,image_url
98,Fortunate Son,Creedence Clearwater Revival,rock,https://i.scdn.co/image/ab67616d00001e029f39192f9f8ca1c90847b3e5
99,Chop Suey!,System Of A Down,rock,https://i.scdn.co/image/ab67616d00001e0207bc7d2a745636c356b4d0aa
100,Be Like a Woman,Chris Rainbow,rock,https://i.scdn.co/image/ab67616d00001e02f96aee01fdb9a8d00db869c5
101,Like a Stone,Audioslave,rock,https://i.scdn.co/image/ab67616d00001e02a7292b6863258e889b78d787
102,Enter Sandman (Remastered),Metallica,rock,https://i.scdn.co/image/ab67616d00001e021f9edf15e43f4c2f4938b869
103,Somewhere I Belong,Linkin Park,rock,https://i.scdn.co/image/ab67616d00001e025f1f51d14e8bea89484ecd1b
104,Africa,TOTO,rock,https://i.scdn.co/image/ab67616d00001e02ebd6d20c0082524244ef83df
105,Hotel California - 2013 Remaster,Eagles,rock,https://i.scdn.co/image/ab67616d00001e024637341b9f507521afa9a778
106,Take It Easy - 2013 Remaster,Eagles,rock,https://i.scdn.co/image/ab67616d00001e02c13acd642ba9f6f5f127aa1b
107,Drops of Jupiter (Tell Me),Train,rock,https://i.scdn.co/image/ab67616d00001e021a0278d4109c0f974821aa33
108,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,rock,https://i.scdn.co/image/ab67616d00001e020c3a1b46b6b846dfdfbc6a7d
109,Borderline,Tame Impala,rock,https://i.scdn.co/image/ab67616d00001e0258267bd34420a00d5cf83a49
110,Teenage Dirtbag,Wheatus,rock,https://i.scdn.co/image/ab67616d00001e020a3740efa638f10f14fabc46
111,Brain Stew,Green Day,rock,https://i.scdn.co/image/ab67616d00001e02ac9a652335cf34de9a65292a
112,Faint,Linkin Park,rock,https://i.scdn.co/image/ab67616d00001e025f1f51d14e8bea89484ecd1b
113,Somebody Told Me,The Killers,rock,https://i.scdn.co/image/ab67616d00001e02ccdddd46119a4ff53eaf1f5d
114,Simple Man,Lynyrd Skynyrd,rock,https://i.scdn.co/image/ab67616d00001e02128450651c9f0442780d8eb8
115,More Than a Feeling,Boston,rock,https://i.scdn.co/image/ab67616d00001e028c1fadcc997a65384f34d694
116,Listen to the Music,The Doobie Brothers,rock,https://i.scdn.co/image/ab67616d00001e0291b51fa9b5967fb34c044498
117,Rich Girl,Daryl Hall & John Oates,rock,https://i.scdn.co/image/ab67616d00001e023ebc5b9d8942069d3b920550
118,I Hate Everything About You,Three Days Grace,rock,https://i.scdn.co/image/ab67616d00001e025d4bd2c345c95e847b586403
119,Let Down,Radiohead,rock,https://i.scdn.co/image/ab67616d00001e02c8b444df094279e70d0ed856
120,Change (In the House of Flies),Deftones,rock,https://i.scdn.co/image/ab67616d00001e025c53799f473fa3e1a48c00ed
121,05,Noto,ambient,https://i.scdn.co/image/ab67616d00001e02f0e2e3db35d8433554b4044f
122,Marmalade (Classical Instrumental),Ryan Louder,ambient,https://i.scdn.co/image/ab67616d00001e02dd2a6fa37f394581f73de83d
123,Bees No. 2,Controlled Bleeding,ambient,https://i.scdn.co/image/ab67616d00001e02c1c8441f670f9b3f56c10821
124,Mild Weather,Natura Aeternum,ambient,https://i.scdn.co/image/ab67616d00001e0261f2b59629f2631d532f4960
125,Hymn No. 2,Daniel Menche,ambient,https://i.scdn.co/image/ab67616d00001e021cf471e8bf6bfee3f72882cc
126,Fake Recording (for 17),sevenism,ambient,https://i.scdn.co/image/ab67616d00001e02d31b40cc8f31e75957bb7b58
127,Miles From,sevenism,ambient,https://i.scdn.co/image/ab67616d00001e0209f18fed4318d140f99332e4
128,Man of Stone - Lake Bodom Recordings,Husky Rescue,ambient,https://i.scdn.co/image/ab67616d00001e02edf9be9ae0242a8bf7be3268
129,Transcendence - Original Mix,Jens Buchert,ambient,https://i.scdn.co/image/ab67616d00001e023adbb435b1b94913a6a9343e
130,Movement 3 - Pt. 1 - Instrumental,Erland Cooper,ambient,https://i.scdn.co/image/ab67616d00001e02a87b5e03d652b0079721c8cf
131,The Ones Who Walk Along Side Flame,Guthravir,ambient,https://i.scdn.co/image/ab67616d00001e02214830b9272fe3b8143877c2
